ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES
2_2_2023 20:6:20,0.119575,-0.014744,-0.017594,4294.583984,17382.70313,-0.554825,0.045971
2_2_2023 20:6:20,0.119575,0.027778,-0.017594,4294.583984,17382.70313,-0.554825,0.045971
2_2_2023 20:6:20,0.119575,0.027778,-0.017897,4294.583984,17382.70313,-0.554825,0.045971
2_2_2023 20:6:20,0.119575,0.027778,-0.017897,4294.552246,17382.70313,-0.554825,0.045971
2_2_2023 20:6:20,0.119575,0.027778,-0.017897,4294.552246,17382.70313,-0.556709,0.045971
2_2_2023 20:6:20,0.119575,0.027778,-0.017897,4294.552246,17382.70313,-0.556709,0.048655
2_2_2023 20:6:21,-0.014583,0.027778,-0.017897,4294.552246,17382.70313,-0.556709,0.048655
2_2_2023 20:6:21,-0.014583,0.055164,-0.017897,4294.552246,17382.70313,-0.556709,0.048655
2_2_2023 20:6:21,-0.014583,0.055164,-0.025027,4294.552246,17382.70313,-0.556709,0.048655
2_2_2023 20:6:21,-0.014583,0.055164,-0.025027,4294.520508,17382.70313,-0.556709,0.048655
2_2_2023 20:6:21,-0.014583,0.055164,-0.025027,4294.520508,17382.70313,-0.554894,0.048655
2_2_2023 20:6:21,-0.014583,0.055164,-0.025027,4294.520508,17382.70313,-0.554894,0.063195
2_2_2023 20:6:22,-0.097327,0.055164,-0.025027,4294.520508,17382.70313,-0.554894,0.063195
2_2_2023 20:6:22,-0.097327,-0.019562,-0.025027,4294.520508,17382.70313,-0.554894,0.063195
2_2_2023 20:6:22,-0.097327,-0.019562,-0.013233,4294.520508,17382.70313,-0.554894,0.063195
2_2_2023 20:6:22,-0.097327,-0.019562,-0.013233,4294.48877,17382.70313,-0.554894,0.063195
2_2_2023 20:6:22,-0.097327,-0.019562,-0.013233,4294.48877,17382.70313,-0.556302,0.063195
2_2_2023 20:6:22,-0.097327,-0.019562,-0.013233,4294.48877,17382.70313,-0.556302,0.04058
2_2_2023 20:6:24,0.048714,-0.019562,-0.013233,4294.48877,17382.70313,-0.556302,0.04058
2_2_2023 20:6:24,0.048714,0.020943,-0.013233,4294.48877,17382.70313,-0.556302,0.04058
2_2_2023 20:6:24,0.048714,0.020943,-0.010756,4294.48877,17382.70313,-0.556302,0.04058
2_2_2023 20:6:24,0.048714,0.020943,-0.010756,4294.457031,17382.70313,-0.556302,0.04058
2_2_2023 20:6:24,0.048714,0.020943,-0.010756,4294.457031,17382.67578,-0.556302,0.04058
2_2_2023 20:6:24,0.048714,0.020943,-0.010756,4294.457031,17382.67578,-0.554106,0.04058
2_2_2023 20:6:24,0.048714,0.020943,-0.010756,4294.457031,17382.67578,-0.554106,0.063915
2_2_2023 20:6:25,-0.055982,0.020943,-0.010756,4294.457031,17382.67578,-0.554106,0.063915
2_2_2023 20:6:25,-0.055982,0.058132,-0.010756,4294.457031,17382.67578,-0.554106,0.063915
2_2_2023 20:6:25,-0.055982,0.058132,-0.026842,4294.457031,17382.67578,-0.554106,0.063915
2_2_2023 20:6:25,-0.055982,0.058132,-0.026842,4294.425293,17382.67578,-0.554106,0.063915
2_2_2023 20:6:25,-0.055982,0.058132,-0.026842,4294.425293,17382.6582,-0.554106,0.063915
2_2_2023 20:6:25,-0.055982,0.058132,-0.026842,4294.425293,17382.6582,-0.560628,0.063915
2_2_2023 20:6:25,-0.055982,0.058132,-0.026842,4294.425293,17382.6582,-0.560628,0.062121
2_2_2023 20:6:25,-0.028105,0.058132,-0.026842,4294.425293,17382.6582,-0.560628,0.062121
2_2_2023 20:6:25,-0.028105,0.038907,-0.026842,4294.425293,17382.6582,-0.560628,0.062121
2_2_2023 20:6:25,-0.028105,0.038907,-0.026589,4294.425293,17382.6582,-0.560628,0.062121
2_2_2023 20:6:25,-0.028105,0.038907,-0.026589,4294.393555,17382.6582,-0.560628,0.062121
2_2_2023 20:6:25,-0.028105,0.038907,-0.026589,4294.393555,17382.66797,-0.560628,0.062121
