ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES,
 24_1_2023 16:13:45,0.585073, -0.006111, -0.004391, 1859.505737, 600.705139, -0.985496, 0.128174, 
 24_1_2023 16:13:45,0.585073, -0.006111, -0.004391, 1859.505737, 600.704102, -0.985496, 0.128174, 
 24_1_2023 16:13:45,0.585073, -0.006111, -0.004391, 1859.505737, 600.704102, -1.308565, 0.128174, 
 24_1_2023 16:13:45,0.585073, -0.006111, -0.004391, 1859.505737, 600.704102, -1.308565, 0.597821, 
 24_1_2023 16:13:46,-0.007327, -0.006111, -0.004391, 1859.505737, 600.704102, -1.308565, 0.597821, 
 24_1_2023 16:13:46,-0.007327, 0.000429, -0.004391, 1859.505737, 600.704102, -1.308565, 0.597821, 
 24_1_2023 16:13:46,-0.007327, 0.000429, -0.000560, 1859.505737, 600.704102, -1.308565, 0.597821, 
 24_1_2023 16:13:46,-0.007327, 0.000429, -0.000560, 1859.505737, 600.704102, -1.608720, 0.597821, 
 24_1_2023 16:13:46,-0.007327, 0.000429, -0.000560, 1859.505737, 600.704102, -1.608720, 1.107267, 
 24_1_2023 16:13:47,-0.000577, 0.000429, -0.000560, 1859.505737, 600.704102, -1.608720, 1.107267, 
 24_1_2023 16:13:47,-0.000577, 0.000643, -0.000560, 1859.505737, 600.704102, -1.608720, 1.107267, 
 24_1_2023 16:13:47,-0.000577, 0.000643, -0.000686, 1859.505737, 600.704102, -1.608720, 1.107267, 
 24_1_2023 16:13:47,-0.000577, 0.000643, -0.000686, 1859.505737, 600.703247, -1.608720, 1.107267, 
 24_1_2023 16:13:47,-0.000577, 0.000643, -0.000686, 1859.505737, 600.703247, -1.913849, 1.107267, 
 24_1_2023 16:13:47,-0.000577, 0.000643, -0.000686, 1859.505737, 600.703247, -1.913849, 1.598837, 
 24_1_2023 16:13:48,0.000000, 0.000643, -0.000686, 1859.505737, 600.703247, -1.913849, 1.598837, 
 24_1_2023 16:13:48,0.000000, 0.000000, -0.000686, 1859.505737, 600.703247, -1.913849, 1.598837, 
 24_1_2023 16:13:48,0.000000, 0.000000, 0.000000, 1859.505737, 600.703247, -1.913849, 1.598837, 
 24_1_2023 16:13:48,0.000000, 0.000000, 0.000000, 1859.505737, 600.703247, -2.211401, 1.598837, 
 24_1_2023 16:13:48,0.000000, 0.000000, 0.000000, 1859.505737, 600.703247, -2.211401, 2.098700, 
 
