ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES,
 24_1_2023 16:24:42,-0.252468, 0.102649, 1.987953, 1859.133667, 605.057617, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, 0.102649, 1.987953, 1859.133667, 605.057617, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.987953, 1859.133667, 605.057617, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.910098, 1859.133667, 605.057617, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.910098, 1859.129639, 605.057617, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.910098, 1859.129639, 605.064453, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.910098, 1859.129639, 605.064453, -0.539430, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.910098, 1859.129639, 605.064453, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.045275, 1.910098, 1859.129639, 605.064453, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.910098, 1859.129639, 605.064453, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.798211, 1859.129639, 605.064453, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.798211, 1859.125488, 605.064453, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.798211, 1859.125488, 605.073425, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.798211, 1859.125488, 605.073425, -0.751228, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.798211, 1859.125488, 605.073425, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.076991, 1.798211, 1859.125488, 605.073425, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.798211, 1859.125488, 605.073425, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.757822, 1859.125488, 605.073425, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.757822, 1859.121338, 605.073425, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.757822, 1859.121338, 605.090759, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.757822, 1859.121338, 605.090759, -0.595684, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.757822, 1859.121338, 605.090759, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, -0.124772, 1.757822, 1859.121338, 605.090759, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.757822, 1859.121338, 605.090759, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.773076, 1859.121338, 605.090759, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.773076, 1859.117188, 605.090759, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.773076, 1859.117188, 605.124084, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.773076, 1859.117188, 605.124084, -0.667638, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.773076, 1859.117188, 605.124084, -0.667638, -0.480938, 
 24_1_2023 16:24:47,-2.915751, 0.205759, 1.773076, 1859.117188, 605.124084, -0.667638, -0.480938, 
 24_1_2023 16:24:47,-2.915751, 0.394090, 1.773076, 1859.117188, 605.124084, -0.667638, -0.480938, 
 24_1_2023 16:24:47,-2.915751, 0.394090, 1.770541, 1859.117188, 605.124084, -0.667638, -0.480938, 
 24_1_2023 16:24:47,-2.915751, 0.394090, 1.770541, 1859.113037, 605.124084, -0.667638, -0.480938, 
 24_1_2023 16:24:47,-2.915751, 0.394090, 1.770541, 1859.113037, 605.180786, -0.667638, -0.480938, 
 24_1_2023 16:24:47,-2.915751, 0.394090, 1.770541, 1859.113037, 605.180786, -0.561946, -0.480938, 
 24_1_2023 16:24:47,-2.915751, 0.394090, 1.770541, 1859.113037, 605.180786, -0.561946, -0.452453, 
 24_1_2023 16:24:48,0.256226, 0.394090, 1.770541, 1859.113037, 605.180786, -0.561946, -0.452453, 
 24_1_2023 16:24:48,0.256226, -0.332073, 1.770541, 1859.113037, 605.180786, -0.561946, -0.452453, 
 24_1_2023 16:24:48,0.256226, -0.332073, -0.238713, 1859.113037, 605.180786, -0.561946, -0.452453, 
 24_1_2023 16:24:48,0.256226, -0.332073, -0.238713, 1859.109131, 605.180786, -0.561946, -0.452453, 
 24_1_2023 16:24:48,0.256226, -0.332073, -0.238713, 1859.109131, 605.256226, -0.561946, -0.452453, 
 24_1_2023 16:24:48,0.256226, -0.332073, -0.238713, 1859.109131, 605.256226, -0.516551, -0.452453, 
 24_1_2023 16:24:48,0.256226, -0.332073, -0.238713, 1859.109131, 605.256226, -0.516551, -0.305310, 
 24_1_2023 16:24:49,0.691860, -0.332073, -0.238713, 1859.109131, 605.256226, -0.516551, -0.305310, 
 24_1_2023 16:24:49,0.691860, -0.124852, -0.238713, 1859.109131, 605.256226, -0.516551, -0.305310, 
 24_1_2023 16:24:49,0.691860, -0.124852, -5.212202, 1859.109131, 605.256226, -0.516551, -0.305310, 
 24_1_2023 16:24:49,0.691860, -0.124852, -5.212202, 1859.105103, 605.256226, -0.516551, -0.305310, 
 24_1_2023 16:24:49,0.691860, -0.124852, -5.212202, 1859.105103, 605.372864, -0.516551, -0.305310, 
 24_1_2023 16:24:49,0.691860, -0.124852, -5.212202, 1859.105103, 605.372864, 0.300916, -0.305310, 
 24_1_2023 16:24:49,0.691860, -0.124852, -5.212202, 1859.105103, 605.372864, 0.300916, -0.282284, 
 24_1_2023 16:24:50,-0.141353, -0.124852, -5.212202, 1859.105103, 605.372864, 0.300916, -0.282284, 
 24_1_2023 16:24:50,-0.141353, -0.247444, -5.212202, 1859.105103, 605.372864, 0.300916, -0.282284, 
 24_1_2023 16:24:50,-0.141353, -0.247444, 0.556234, 1859.105103, 605.372864, 0.300916, -0.282284, 
 24_1_2023 16:24:50,-0.141353, -0.247444, 0.556234, 1859.101074, 605.372864, 0.300916, -0.282284, 
 24_1_2023 16:24:50,-0.141353, -0.247444, 0.556234, 1859.101074, 605.425171, 0.300916, -0.282284, 
 24_1_2023 16:24:50,-0.141353, -0.247444, 0.556234, 1859.101074, 605.425171, -0.340431, -0.282284, 
 24_1_2023 16:24:50,-0.141353, -0.247444, 0.556234, 1859.101074, 605.425171, -0.340431, -0.354906, 
 24_1_2023 16:24:51,-0.739401, -0.247444, 0.556234, 1859.101074, 605.425171, -0.340431, -0.354906, 
 24_1_2023 16:24:51,-0.739401, 0.119794, 0.556234, 1859.101074, 605.425171, -0.340431, -0.354906, 
 24_1_2023 16:24:51,-0.739401, 0.119794, 1.661262, 1859.101074, 605.425171, -0.340431, -0.354906, 
 24_1_2023 16:24:51,-0.739401, 0.119794, 1.661262, 1859.097168, 605.425171, -0.340431, -0.354906, 
 24_1_2023 16:24:51,-0.739401, 0.119794, 1.661262, 1859.097168, 605.496277, -0.340431, -0.354906, 
 24_1_2023 16:24:51,-0.739401, 0.119794, 1.661262, 1859.097168, 605.496277, -0.912445, -0.354906, 
 24_1_2023 16:24:51,-0.739401, 0.119794, 1.661262, 1859.097168, 605.496277, -0.912445, -0.366719, 
 24_1_2023 16:24:52,-2.169916, 0.119794, 1.661262, 1859.097168, 605.496277, -0.912445, -0.366719, 
 24_1_2023 16:24:52,-2.169916, 0.006086, 1.661262, 1859.097168, 605.496277, -0.912445, -0.366719, 
 24_1_2023 16:24:52,-2.169916, 0.006086, 1.409322, 1859.097168, 605.496277, -0.912445, -0.366719, 
 24_1_2023 16:24:52,-2.169916, 0.006086, 1.409322, 1859.093140, 605.496277, -0.912445, -0.366719, 
 24_1_2023 16:24:52,-2.169916, 0.006086, 1.409322, 1859.093140, 605.602966, -0.912445, -0.366719, 
 24_1_2023 16:24:52,-2.169916, 0.006086, 1.409322, 1859.093140, 605.602966, -1.068519, -0.366719, 
 24_1_2023 16:24:52,-2.169916, 0.006086, 1.409322, 1859.093140, 605.602966, -1.068519, -0.444855, 
 24_1_2023 16:24:53,-4.100605, 0.006086, 1.409322, 1859.093140, 605.602966, -1.068519, -0.444855, 
 24_1_2023 16:24:53,-4.100605, -0.175596, 1.409322, 1859.093140, 605.602966, -1.068519, -0.444855, 
 24_1_2023 16:24:53,-4.100605, -0.175596, 1.287519, 1859.093140, 605.602966, -1.068519, -0.444855, 
 24_1_2023 16:24:53,-4.100605, -0.175596, 1.287519, 1859.089111, 605.602966, -1.068519, -0.444855, 
 24_1_2023 16:24:53,-4.100605, -0.175596, 1.287519, 1859.089111, 605.763000, -1.068519, -0.444855, 
 24_1_2023 16:24:53,-4.100605, -0.175596, 1.287519, 1859.089111, 605.763000, -1.166027, -0.444855, 
 24_1_2023 16:24:53,-4.100605, -0.175596, 1.287519, 1859.089111, 605.763000, -1.166027, -0.498106, 
 24_1_2023 16:24:54,-5.666657, -0.175596, 1.287519, 1859.089111, 605.763000, -1.166027, -0.498106, 
 24_1_2023 16:24:54,-5.666657, 0.160709, 1.287519, 1859.089111, 605.763000, -1.166027, -0.498106, 
 24_1_2023 16:24:54,-5.666657, 0.160709, 1.058925, 1859.089111, 605.763000, -1.166027, -0.498106, 
 24_1_2023 16:24:54,-5.666657, 0.160709, 1.058925, 1859.085205, 605.763000, -1.166027, -0.498106, 
 24_1_2023 16:24:54,-5.666657, 0.160709, 1.058925, 1859.085205, 605.962097, -1.166027, -0.498106, 
 24_1_2023 16:24:54,-5.666657, 0.160709, 1.058925, 1859.085205, 605.962097, -1.279859, -0.498106, 
 24_1_2023 16:24:54,-5.666657, 0.160709, 1.058925, 1859.085205, 605.962097, -1.279859, -0.373545, 
 24_1_2023 16:24:55,-7.366436, 0.160709, 1.058925, 1859.085205, 605.962097, -1.279859, -0.373545, 
 24_1_2023 16:24:55,-7.366436, 0.077367, 1.058925, 1859.085205, 605.962097, -1.279859, -0.373545, 
 24_1_2023 16:24:55,-7.366436, 0.077367, 0.856325, 1859.085205, 605.962097, -1.279859, -0.373545, 
 24_1_2023 16:24:55,-7.366436, 0.077367, 0.856325, 1859.081177, 605.962097, -1.279859, -0.373545, 
 24_1_2023 16:24:55,-7.366436, 0.077367, 0.856325, 1859.081177, 606.195251, -1.279859, -0.373545, 
 24_1_2023 16:24:55,-7.366436, 0.077367, 0.856325, 1859.081177, 606.195251, -1.228878, -0.373545, 
 24_1_2023 16:24:55,-7.366436, 0.077367, 0.856325, 1859.081177, 606.195251, -1.228878, -0.154851, 
 24_1_2023 16:24:56,-8.187645, 0.077367, 0.856325, 1859.081177, 606.195251, -1.228878, -0.154851, 
 24_1_2023 16:24:56,-8.187645, 0.055123, 0.856325, 1859.081177, 606.195251, -1.228878, -0.154851, 
